relationship_id,relationship_name,from_entity,to_entity,from_column,to_column,cardinality,description
8200000000000000020,MemberHasPlan,Patient,Plan,plan_id,plan_id,many_to_one,"Member is enrolled in a plan (via member_enrollment)."
8200000000000000021,PlanOfferedByPayer,Plan,Payer,payer_id,payer_id,many_to_one,"Plan is offered by a payer."
8200000000000000022,MemberPaysPremium,Patient,Premium,patient_id,member_id,one_to_many,"Member pays monthly premium."
8200000000000000023,MemberRequestsAuth,Patient,Authorization,patient_id,member_id,one_to_many,"Authorization is requested for a member."
8200000000000000024,ProviderRequestsAuth,Provider,Authorization,provider_id,provider_id,one_to_many,"Provider submits authorization request."
8200000000000000025,PayerReceivesAuth,Payer,Authorization,payer_id,payer_id,one_to_many,"Payer adjudicates authorization."
8200000000000000026,ProviderReceivesCapitation,Provider,Capitation,provider_id,provider_id,one_to_many,"Provider receives capitation payments."
8200000000000000027,PayerPaysCapitation,Payer,Capitation,payer_id,payer_id,one_to_many,"Payer issues capitation payment."
8200000000000000028,ClaimHasAppeal,Claim,Appeal,claim_id,claim_id,one_to_many,"Claim may be appealed one or more times."
8200000000000000029,ProviderHasContract,Provider,ProviderContract,provider_id,provider_id,one_to_many,"Provider holds contract(s) with payer(s)."
8200000000000000030,PayerHasContract,Payer,ProviderContract,payer_id,payer_id,one_to_many,"Payer holds contract(s) with provider(s)."
8200000000000000031,MemberHasHEDIS,Patient,HEDISCompliance,patient_id,member_id,one_to_many,"Member has HEDIS compliance status per measure-year."
8200000000000000032,PayerHasStarRating,Payer,StarRating,payer_id,payer_id,one_to_many,"Payer-contract receives Star Rating measure scores."
8200000000000000033,MemberHasRAF,Patient,RiskAdjustment,patient_id,member_id,one_to_many,"Member has annual RAF score."
